제품코드,수량,송장번호
A101,5,10001a1170101
A101,3,10002c2170101
A101,2,10003a2170101
A101,3,10001b1170102
A101,6,10002c2170102
A101,4,10003a2170102
A101,4,10001c1170103
A101,2,10002b2170103
A101,7,10003c2170103
A101,4,10001a1170105
A101,3,10002a2170105
A101,3,10003c2170105
A101,3,10001b1170106
A101,3,10002a2170106
A101,6,10003b3170106
A101,2,10001b1170107
A101,2,10002a2170107
A101,5,10003a3170107
A101,2,10001b1170109
A101,2,10002c2170109
A101,3,10003a3170109
A101,3,10001a1170111
A101,2,10002c2170111
A101,3,10003b3170111
A101,4,10001c1170113
A101,4,10002c2170113
A101,4,10003a3170113
A101,1,10001c1170115
A101,3,10002b2170115
A101,2,10003c3170115
A101,4,10001b1170116
A101,4,10002a2170116
A101,3,10003c3170116
A101,2,10001a1170117
A101,2,10002b2170117
A101,5,10003b3170117
A101,4,10001a1170119
A101,2,10002b2170119
A101,4,10003a3170119
A101,4,10001a1170120
A101,1,10002a2170120
A101,1,10003c3170120
A101,2,10001c1170122
A101,3,10002c2170122
A101,3,10003b3170122
A101,3,10001b2170124
A101,4,10002c2170124
A101,3,10003a3170124
A101,4,10001b2170126
A101,4,10002b2170126
A101,1,10003a3170126
A101,2,10001a2170127
A101,1,10002a2170127
A101,3,10003a3170127
A101,2,10001c3170201
A101,4,10002c4170201
A101,3,10003a1170201
A101,3,10001c3170203
A101,7,10002c4170203
A101,5,10003c1170203
A101,4,10001c3170204
A101,1,10002b4170204
A101,4,10003c1170204
A101,4,10001c3170205
A101,2,10002a4170205
A101,3,10003b1170205
A101,3,10001b3170207
A101,4,10002a4170207
A101,3,10003a2170207
A101,4,10001a3170208
A101,4,10002b4170208
A101,3,10003a2170208
A101,2,10001b3170209
A101,2,10002a4170209
A101,1,10003a2170209
A101,1,10001b3170211
A101,2,10002a4170211
A101,1,10003c2170211
A101,3,10001a3170212
A101,4,10002c4170212
A101,4,10003b2170212
A101,2,10001a3170213
A101,3,10002c4170213
A101,1,10003b2170213
A101,8,10001c3170214
A101,4,10002b1170214
A101,2,10003a2170214
A101,3,10001c4170216
A101,4,10002a1170216
A101,2,10003c2170216
A101,1,10001b4170217
A101,2,10002c1170217
A101,4,10003c2170217
A101,3,10001a4170218
A101,5,10002b1170218
A101,7,10003b2170218
A101,2,10001c4170219
A101,2,10002a1170219
A101,7,10003a2170219
A101,2,10001b4170221
A101,3,10002b1170221
A101,5,10003a2170221
A101,5,10001a4170222
A101,5,10002c1170222
A101,2,10003a2170222
A101,3,10001b4170224
A101,3,10002a1170224
A101,3,10003c2170224
A101,3,10001a4170225
A101,4,10002b1170225
A102,2,10003c2170225
A102,4,10001a4170227
A102,3,10002b1170227
A102,4,10003c2170227
A102,2,10001a4170228
A102,6,10002b1170228
A102,3,10003b2170228
A102,7,10001a2170301
A102,2,10002b3170301
A102,5,10003a4170301
A102,2,10001b2170302
A102,5,10002a3170302
A102,3,10003a4170302
A102,4,10001b2170303
A102,2,10002a3170303
A102,1,10003a4170303
A102,5,10001a2170304
A102,4,10002a3170304
A102,2,10003c4170304
A102,3,10001c2170306
A102,4,10002c3170306
A102,4,10003c4170306
A102,5,10001c2170308
A102,2,10002c3170308
A102,3,10003b4170308
A102,1,10001b2170310
A102,6,10002c3170310
A102,1,10003a4170310
A102,3,10001a2170311
A102,2,10002c3170311
A102,2,10003a4170311
A102,1,10001a3170312
A102,3,10002b3170312
A102,2,10003b4170312
A102,2,10001a3170313
A102,4,10002a3170313
A102,4,10003a3170313
A102,3,10001c3170314
A102,4,10002b3170314
A102,3,10003a3170314
A102,3,10001c3170318
A102,1,10002b4170318
A102,1,10003c3170318
A102,4,10001b3170319
A102,2,10002a4170319
A102,4,10003c3170319
A102,4,10001a3170320
A102,6,10002a4170320
A102,7,10003b3170320
A102,4,10001a3170321
A102,7,10002c4170321
A102,5,10003a3170321
A102,5,10001b3170322
A102,2,10002c4170322
A102,3,10003c3170322
A102,3,10001a3170324
A102,3,10002b4170324
A102,2,10003b3170324
A102,3,10001c3170325
A102,1,10002a4170325
A103,1,10003a3170325
A103,7,10001c3170327
A103,7,10002c4170327
A103,3,10003b3170327
A103,2,10001b3170328
A103,7,10002b4170328
A103,4,10003c3170328
A103,3,10001a3170330
A103,4,10002a4170330
A103,4,10003a3170330
A103,3,10001c3170331
A103,2,10002b4170331
A103,3,10003b3170331
A103,4,10001b3170401
A103,3,10002c4170401
A103,3,10003b2170401
A103,2,10001b3170402
A103,2,10002b1170402
A103,4,10003a2170402
A103,3,10001a4170404
A103,6,10002a1170404
A103,4,10003c2170404
A103,1,10001c4170405
A103,4,10002b1170405
A103,2,10003b2170405
A103,4,10001c4170407
A103,4,10002b1170407
A103,3,10003a2170407
A103,2,10001b4170408
A103,7,10002a1170408
A103,2,10003a2170408
A103,5,10001a4170409
A103,5,10002c1170409
A103,1,10003a2170409
A103,5,10001a4170410
A103,1,10002c1170410
A103,3,10003c2170410
A103,5,10001a4170413
A103,2,10002b1170413
A103,2,10003c2170413
A103,1,10001c4170414
A103,2,10002a1170414
A103,2,10003c2170414
A103,5,10001b4170417
A103,2,10002a1170417
A103,3,10003c2170417
A103,5,10001b4170418
A103,3,10002a1170418
A103,3,10003b2170418
A103,3,10001a4170420
A103,3,10002c1170420
A103,2,10003a2170420
A103,3,10001c4170421
A103,5,10002c1170421
A103,2,10003b2170421
A103,4,10001c4170422
A103,4,10002b1170422
A103,4,10003b2170422
A103,5,10001b4170423
A103,6,10002a1170423
A103,2,10003a2170423
A103,4,10001a4170425
A103,5,10002a2170425
A103,4,10003a2170425
A103,4,10001a4170426
A103,2,10002b2170426
A103,3,10003c2170426
A103,4,10001a4170427
A103,4,10002a2170427
A103,1,10003c2170427
A103,7,10001c4170429
A103,3,10002c2170429
A103,3,10003b2170429
A103,2,10001c4170430
A103,3,10002c2170430
A103,2,10003a3170430
A103,3,10001c3170501
A103,7,10002a4170501
A103,4,10003a4170501
A103,4,10001b3170502
A103,7,10002a4170502
A103,6,10003a4170502
A103,7,10001a3170504
A103,2,10002c4170504
A103,5,10003c4170504
A103,3,10001b3170505
A103,6,10002c4170505
A103,3,10003c4170505
A103,3,10001a3170507
A103,5,10002b4170507
A103,4,10003b1170507
A103,4,10001a3170508
A103,3,10002a4170508
A103,2,10003a1170508
A103,7,10001a3170509
A103,5,10002c4170509
A103,2,10003c1170509
A103,3,10001c3170512
A103,6,10002b4170512
A103,4,10003b1170512
A103,7,10001c3170513
A103,2,10002a4170513
A103,1,10003a1170513
A103,3,10001b3170514
A103,3,10002b4170514
